Agency,AI Use Case,Agency Use (Y/N)?,Name of Commercial Product or Service Used,Estimated # of Licenses/Users
Department of Labor,Creating visual representations of data sets for reports or presentations using AI.,N,,
Department of Labor,Using AI-assisted tools in word processors.,Y,"Grammarly, Microsoft Copilot",
Department of Labor,Generating code using AI.,Y,"Poolside, GitHub Copilot",
Department of Labor,Searching for agency information using a knowledge retrieval system.,Y,"ChatGPT, Gemini, Claude",
Department of Labor,Identifying and cataloging items in a storage room using AI-driven image recognition.,N,,
Department of Labor,"Managing or implementing security controls for information systems (e.g., cybersecurity) using AI",Y,"Crowdstrike Falcon, Microsoft Defender",
Department of Labor,Managing and prioritizing internal service or help desk tickets using AI.,Y,"Supportbench, ServiceDesk Plus",
Department of Labor,Curating news articles and updates based on user preferences using AI.,Y,"MediaViz AI, Google News Brief",
Department of Labor,Planning travel routes using AI-driven map applications.,Y,"Google Maps, Apple Maps",
Department of Labor,Finding and booking travel accommodations using AI-powered platforms.,N,,
Department of Labor,Unlocking smartphones or other devices without the need for passwords or PINs using AI-based facial recognition technology.,N,,
Department of Transportation,Scheduling internal-to-government meetings or appointments or setting reminders using AI.,N,,
Department of Transportation,Logging and analyzing time spent on tasks using AI-powered time management tools.,N,,
Department of Transportation,"Transcribing, summarizing, or other efforts that improve the accessibility of a virtual meeting or interview using AI.",Y,Google Calendar,"5001-10,000"
Department of Transportation,Prioritizing and categorizing incoming emails using AI.,N,,
Department of Transportation,"Editing images, videos, or other public affairs materials using AI.",Y,Adobe,1-100
Department of Transportation,Scheduling and managing social media posts using AI.,Y,Sprout,1-100
Department of Transportation,"Generating first drafts of documents, briefing, or communication materials using AI.",Y,Azure AI Foundry,1001-5000
Department of Transportation,Improving the quality of written communications using AI tools.,N,,
Department of Transportation,Summarizing the key points of a lengthy report using AI.,Y,Azure AI Foundry,1001-5000
Department of Transportation,Creating visual representations of data sets for reports or presentations using AI.,N,,
Department of Transportation,Using AI-assisted tools in word processors.,N,,
Department of Transportation,Generating code using AI.,N,,
Department of Transportation,Searching for agency information using a knowledge retrieval system.,Y,"Databricks, Bedrock, Foundry",101-1000
Department of Transportation,Identifying and cataloging items in a storage room using AI-driven image recognition.,N,,
Department of Transportation,"Managing or implementing security controls for information systems (e.g., cybersecurity) using AI",Y,"Elastic Cloud, Palo Alto","10,000-50,000"
Department of Transportation,Managing and prioritizing internal service or help desk tickets using AI.,N,,
Department of Transportation,Curating news articles and updates based on user preferences using AI.,N,,
Department of Transportation,Planning travel routes using AI-driven map applications.,Y,"Google Maps, Apple Maps","10,000-50,000"
Department of Transportation,Finding and booking travel accommodations using AI-powered platforms.,N,,
Department of Transportation,Unlocking smartphones or other devices without the need for passwords or PINs using AI-based facial recognition technology.,Y,Apple iPhone,"10,000-50,000"
Department of Treasury,Scheduling internal-to-government meetings or appointments or setting reminders using AI.,Y,N/A,101-1000
Department of Treasury,Logging and analyzing time spent on tasks using AI-powered time management tools.,N,,
Department of Treasury,"Transcribing, summarizing, or other efforts that improve the accessibility of a virtual meeting or interview using AI.",Y,N/A,"10,000-50,000"
Department of Treasury,Prioritizing and categorizing incoming emails using AI.,Y,N/A,101-1000
Department of Treasury,"Editing images, videos, or other public affairs materials using AI.",Y,N/A,1-100
Department of Treasury,Scheduling and managing social media posts using AI.,Y,N/A,1-100
Department of Treasury,"Generating first drafts of documents, briefing, or communication materials using AI.",Y,N/A,"5001-10,000"
Department of Treasury,Improving the quality of written communications using AI tools.,Y,N/A,"5001-10,000"
Department of Treasury,Summarizing the key points of a lengthy report using AI.,Y,N/A,"5001-10,000"
Department of Treasury,Creating visual representations of data sets for reports or presentations using AI.,Y,N/A,101-1000
Department of Treasury,Using AI-assisted tools in word processors.,Y,N/A,101-1000
Department of Treasury,Generating code using AI.,Y,N/A,1001-5000
Department of Treasury,Searching for agency information using a knowledge retrieval system.,Y,N/A,1001-5000
Department of Treasury,Identifying and cataloging items in a storage room using AI-driven image recognition.,N,,
Department of Treasury,"Managing or implementing security controls for information systems (e.g., cybersecurity) using AI",Y,N/A,1-100
